"Object size"	"OCTEON"	"BF-2"	"BF-3"  "Host"
16KB	1148.57	1631.38	3231.99	7633.55
4MB	1364.20	1107.62	3393.46	8761.32
1GB	1146.22	637.53	1916.63	3760.78
