"Length"	"OCTEON"	"BF-2"	"BF-3"  "Host"
10	1799.98	1373.85	2127.57	4143.07
64	1799.98	1373.59	2128.46	4142.08
256	1799.99	1373.89	2128.20	4140.72
1024	1799.99	1373.75	2127.24	4144.41
