"Length"	"OCTEON"	"BF-2"	"BF-3"  "Host"
10	11.04	13.08	30.87	67.96
64	8.21	12.95	24.38	69.08
256	4.39	7.34	13.11	57.56
1024	1.62	2.50	4.47	31.47
